slug,nom_scientifique,ordre,famille,nom_commun,worms_aphia_id
elysia-sp.-4,Elysia sp. 4,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-5,Elysia sp. 5,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-6,Elysia sp. 6,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-7,Elysia sp. 7,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-8,Elysia sp. 8,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-9,Elysia sp. 9,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-10,Elysia sp. 10,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-11,Elysia sp. 11,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-12,▪️ Elysia sp. 12,Sacoglossa,Plakobranchidae,,
elysia-sp.-13,▪️ Elysia sp.13,Sacoglossa,Plakobranchidae,,
elysia-sp.-15,▪️ Elysia sp. 15,Sacoglossa,Plakobranchidae,,
elysia-sp.-16,▪️ Elysia sp.16,Sacoglossa,Plakobranchidae,,
elysia-sp.-17,▪️ Elysia sp.17,Sacoglossa,Plakobranchidae,,
elysia-sp.-18,▪️ Elysia sp.18,Sacoglossa,Plakobranchidae,,
elysia-sp.-19,▪️ Elysia sp.19,Sacoglossa,Plakobranchidae,,
elysia-sp.-20,▪️ Elysia sp.20,Sacoglossa,Plakobranchidae,,
elysia-sp.-21,▪️ Elysia sp.21,Sacoglossa,Plakobranchidae,,
elysia-sp.-22,▪️ Elysia sp.22,Sacoglossa,Plakobranchidae,,
elysia-sp.-23,▪️ Elysia sp.23,Sacoglossa,Plakobranchidae,,
elysia-sp.24,▫️Elysia sp.24,Sacoglossa,Plakobranchidae,,
elysia-sp.25,▫️Elysia sp.25,Sacoglossa,Plakobranchidae,,
embletonia-gracilis,▪️ Embletonia gracilis,Aeolida,Embletoniidae,,534076
ercolania-sp.1,▪️ Ercolania sp.1,Sacoglossa,Limapontiidae,,
ercolania-anellyleorum,▪️ Ercolania anellyleorum,Sacoglossa,Limapontiidae,,494681
eubranchus-sp.-1,▪️ Eubranchus sp.1,Aeolida,Eubranchidae,,
eubranchus-sp.-2,▪️ Eubranchus sp.2,Aeolida,Eubranchidae,,
eubranchus-sp.-3,▪️ Eubranchus sp.3,Aeolida,Eubranchidae,,
eubranchus-sp.-4,▪️ Eubranchus sp.4,Aeolida,Eubranchidae,,
eubranchus-sp.-5,▪️ Eubranchus sp.5,Aeolida,Eubranchidae,,
eubranchus-sp.-6,▪️ Eubranchus sp.6,Aeolida,Eubranchidae,,
eubranchus-sp.-7,▪️ Eubranchus sp.7,Aeolida,Eubranchidae,,
eubranchus-sp.-8,▪️ Eubranchus sp.8,Aeolida,Eubranchidae,,
eubranchus-sp.-9,▪️ Eubranchus sp.9,Aeolida,Eubranchidae,,
eubranchus-sp.10,▫️Eubranchus sp.10,Aeolida,Eubranchidae,,
eubranchus-sp.11,▫️Eubranchus sp.11,Aeolida,Eubranchidae,,
eubranchus-sp.12,▪️ Eubranchus sp.12,Aeolida,Eubranchidae,,
facellina-sp.1,Facellina sp.1,Aeolida,Facelinidae,,
facelinid-non-identifié-sp.-1,Facelinid non identifié sp.1,Aeolida,Facelinidae,,
facelinid-non-identifié-sp-.2,▪️ Facelinid non identifié sp.2,Aeolida,Facelinidae,,
facelinid-non-identifié-sp.-4,▪️ Facelinid non identifié sp.4,Aeolida,Facelinidae,,
facelinid-non-identifié-sp.5,▪️ Facelinid non identifié sp.5,Aeolida,Facelinidae,,
favorinus-japonicus,Favorinus japonicus,Aeolida,Facelinidae,,599288
favorinus-sp.-1,Favorinus sp.1,Aeolida,Facelinidae,,138006
favorinus-sp.-2,▪️ Favorinus sp.2,Aeolida,Facelinidae,,
favorinus-sp.-3,▪️ Favorinus sp. 3,Aeolida,Facelinidae,,
favorinus-sp.-4,▪️ Favorinus sp.4,Aeolida,Facelinidae,,
flabellina-exoptata,Flabellina exopata,Aeolida,Flabellinidae,,1047492
flabellina-rubrolineata,Flabellina rubrolineata,Aeolida,Flabellinidae,,139995
flabellina-sp.-1,Flabellina sp. 1,Aeolida,Flabellinidae,,138019
flabellina-sp.-2,Flabellina sp. 2,Aeolida,Flabellinidae,,138019
flabellina-sp.-3,Sea slugs of Tahiti and French Polynesia,Aeolida,Flabellinidae,,
flabellina-sp.4,▫️Flabellina sp.4,Aeolida,Flabellinidae,,
gastropteron-minutum,▪️ Gastropteron minutum,Cephalaspidea,Gastropteridae,,991531
glaucus-atlanticus,▪️ Glaucus atlanticus,Aeolida,Glaucidae,,140022
goniobranchus-albonares,Goniobranchus albonares,Doridida,Chromodorididae,,597346
goniobranchus-albopunctatus,Goniobranchus albopunctatus,Doridida,Chromodorididae,,565620
goniobranchus-decorus,Goniobranchus decorus,Doridida,Chromodorididae,,597332
goniobranchus-cf.-geometricus,Chromodoris cf geometrica,Doridida,Chromodorididae,,
goniobranchus-kuniei,Goniobranchus kuniei,Doridida,Chromodorididae,,597339
goniobranchus-cf.-reticulatus,Goniobranchus cf. reticulatus,Doridida,Chromodorididae,,
goniobranchus-verrieri,Goniobranchus verrieri,Doridida,Chromodorididae,,597344
goniobranchus-sp.-1,Goniobranchus sp. 1,Doridida,Chromodorididae,,558453
goniobranchus-sp.-2,Goniobranchus sp. 2,Doridida,Chromodorididae,,558453
goniobranchus-sp.3,Goniobranchus sp.3,Doridida,Chromodorididae,,558453
goniobranchus-sp.4,Goniobranchus sp.4,Doridida,Chromodorididae,,558453
goniodoridella-unidonta,▪️ Goniodoridella unidonta,Doridida,Goniodorididae,,1719457
goniodoridella-sp.3,▪️ Goniodoridella sp. 3,Doridida,Goniodorididae,,
goniodoridella-sp.4,▪️ Goniodoridella sp.4,Doridida,Goniodorididae,,
goniodoridella-sp.5,▪️ Goniodoridella sp.5,Doridida,Goniodorididae,,
glossodoris-cincta,Glossodoris cincta,Doridida,Chromodorididae,,214506
glossodoris-hikuerensis,Glossodoris hikuerensis,Doridida,Chromodorididae,,559949
glossodoris-rufomarginata,Glossodoris rufomarginata,Doridida,Chromodorididae,,559960
gymnodoris-alba,Gymnodoris alba,Doridida,Polyceridae,,533866
gymnodoris-ceylonica,Gymnodoris ceylonica,Doridida,Polyceridae,Gymnodoris de Ceylan,214544
gymnodoris-cf-citrina,▪️ Gymnodoris cf citrina,Doridida,Polyceridae,,
gymnodoris-inornata,Gymnodoris inornata,Doridida,Polyceridae,,214545
gymnodoris-sp.-1,Gymnodoris sp. 1,Doridida,Polyceridae,,206395
gymnodoris-sp.-2,▪️ Gymnodoris sp.2,Doridida,Polyceridae,,
gymnodoris-sp.-3,Gymnodoris sp. 3,Doridida,Polyceridae,,206395
gymnodoris-sp.-4,▪️ Gymnodoris sp.4,Doridida,Polyceridae,,
gymnodoris-sp.-5,Gymnodoris sp. 5,Doridida,Polyceridae,,206395
gymnodoris-sp.-6,▪️ Gymnodoris sp.6,Doridida,Polyceridae,,
gymnodoris-sp.-7,▪️ Gymnodoris sp.7,Doridida,Polyceridae,,
gymnodoris-sp.-8,▪️ Gymnodoris sp.8,Doridida,Polyceridae,,
gymnodoris-sp.-9,▪️ Gymnodoris sp.9,Doridida,Polyceridae,,
hallaxa-cryptica,▪️ Hallaxa cryptica,Doridida,Actinocyclidae,,
hallaxa-iju,▫️Hallaxa iju,Doridida,Actinocyclidae,,
hallaxa-paulinae,▪️ Hallaxa paulinae,Doridida,Actinocyclidae,,
hallaxa-sp.-2,▪️ Hallaxa sp.2,Doridida,Actinocyclidae,,
hallaxa-sp.-3,▪️ Hallaxa sp.3,Doridida,Actinocyclidae,,
halgerda-brunneomaculata,Halgerda brunneomaculata,Doridida,Discodorididae,,599499
halgerda-willeyi,Halgerda willeyi,Doridida,Discodorididae,,221077
halgerda-sp.1,▫️Halgerda sp.1,Doridida,Discodorididae,,
halgerda-sp.2,Halgerda sp.2,Doridida,Discodorididae,,205320
haloa-crocata,▪️ Haloa Crocata,Cephalaspidea,Haminoeidae,,
haloa-sp.-1,▪️ Haloa sp.1,Cephalaspidea,Haminoeidae,,
haloa-wallisi,▫️Haloa wallisi,Cephalaspidea,Haminoeidae,,
haminoea-cymbalum,Haminoea cymbalum,Cephalaspidea,Haminoeidae,,214538
haminoea-cf-natalensis,Haminoea cf natalensis,Cephalaspidea,Haminoeidae,,
haminoea-sp.-1,▪️ Haminoea sp.1,Cephalaspidea,Haminoeidae,,
haminoeid-sp.1-lt,▪️ Haminoeid sp.1 Lt,Cephalaspidea,Haminoeidae,,
haminoeid-sp.2,▪️ Haminoeid sp.2,Cephalaspidea,Haminoeidae,,
haminoeid-sp.3,▪️ Haminoeid sp.3,Cephalaspidea,Haminoeidae,,
haminoeid-sp.4,▫️Haminoeid sp.4,Cephalaspidea,Haminoeidae,,
hancockia-sp.1,▪️ Hancockia sp.1,Dendronotida,Hancockiidae,,
hancockia-sp.2,▪️ Hancockia sp.2,Dendronotida,Hancockiidae,,
hancockia-sp.3,▪️Hancockia sp.3,Dendronotida,Hancockiidae,,
hermaea-sp.1,▪️ Hermaea sp.1,Sacoglossa,Hermaeidae,,
herviella-albida,▪️ Herviella albida,Aeolida,Facelinidae,,
herviella-mietta,▪️ Herviella mietta,Aeolida,Facelinidae,,
herviella-yatsui,▪️ Herviella yatsui,Aeolida,Facelinidae,,
herviella-sp.-1,▪️ Herviella sp.1,Aeolida,Facelinidae,,
hexabranchus-sp.-1,Hexabranchus sp. 1,Doridida,Hexabranchidae,,206859
hexabranchus-sp.-2,Hexabranchus sp. 2,Doridida,Hexabranchidae,,206859
hydatina-physis,Hydatina physis,Cephalaspidea,Aplustridae,,215423
hypselodoris-bertschi,▪️ Hypselodoris bertschi,Doridida,Chromodorididae,,
hypselodoris-imperialis,▪️ Hypselodoris imperialis,Doridida,Chromodorididae,,
hypselodoris-maculosa,Hypselodoris maculosa,Doridida,Chromodorididae,,209597
hypselodoris-sp.-1,▪️ Hypselodoris sp.1,Doridida,Chromodorididae,,
hypselodoris-tryoni,Hypselodoris tryoni,Doridida,Chromodorididae,,558646
hypselodoris-whitei,Hypselodoris whitei,Doridida,Chromodorididae,,560037
hypselodoris-zephyra,Hypselodoris zephyra,Doridida,Chromodorididae,,457531
janolus-mirabilis,▪️ Janolus mirabilis,Dendronotida,Janolidae,,
jorunna-funebris,▫️ Jorunna funebris,Doridida,Discodorididae,Doris funèbre,
jorunna-parva,▪️ Jorunna parva,Doridida,Discodorididae,,533935
jorunna-sp.-1,Jorunna sp. 1,Doridida,Discodorididae,,138098
julia-exquisita,▪️ Julia exquisita,Sacoglossa,Juliidae,,215227
julia-sp.1,▪️ Julia sp.1,Sacoglossa,Juliidae,,
julia-sp.2,▫️Julia sp.2,Sacoglossa,Juliidae,,
kaloplocamus-sp.-1,Kaloplocamus sp.,Doridida,Polyceridae,,138567
julia-zebra,▪️ Julia Zebra,Sacoglossa,Juliidae,,492585
kaloplocamus-sp.-2,Kaloplocamus sp. 2,Doridida,Polyceridae,,138567
kaloplocamus-sp.-3,Kaloplocamus sp. 3,Doridida,Polyceridae,,138567
lamprohaminoea-cf-ovalis,Lamprohaminoea cf ovalis,Cephalaspidea,Haminoeidae,,
lamprohaminoea-ovalis,▪️ Lamprohaminoea ovalis,Cephalaspidea,Haminoeidae,,
liloa-curta,Liloa curta,Cephalaspidea,Haminoeidae,,599462
liloa-sp.-1,▪️ Liloa sp.1,Cephalaspidea,Haminoeidae,,
liloa-sp.-2,▪️ Liloa sp.2,Cephalaspidea,Haminoeidae,,
liloa-sp.-3,▫️ Liloa sp.3,Cephalaspidea,Haminoeidae,,
limenandra-confusa,▪️ Limenandra confusa,Aeolida,Facelinidae,,
limenandra-fusiformis,Baeolidia fusiformis,Aeolida,Facelinidae,,591276
limenandra-rosanae,Limenandra rosanae,Aeolida,Facelinidae,,754608
lobiger-viridis,Lobiger viridis,Sacoglossa,Oxynoidae,,494421
madrella-ferruginosa,▪️ Madrella ferruginosa,Aeolida,Madrellidae,,
mariaglaja-cf-sandrana,Mariaglaja cf sandrana,Cephalaspidea,Aglajidae,,
marianina-rosea,▪️ Marianina rosea,Dendronotida,Tritoniidae,,
melibe-engeli,Melibe engeli,Dendronotida,Tethydidae,,593362
mexichromis-lemniscata,Mexichromis lemniscata,Doridida,Chromodorididae,,597878
mexichromis-pusilla,▪️ Mexichromis pusilla,Doridida,Chromodorididae,,
micromelo-scriptus,Micromelo scriptus,Cephalaspidea,Aplustridae,,1523204
moridilla-sp.-1,▪️ Moridilla sp.1,Aeolida,Facelinidae,,
mourgona-sp.1,▪️ Mourgona sp.1,Sacoglossa,Caliphyllidae,,
mourgona-sp.2,▪️ Mourgona sp.2,Sacoglossa,Caliphyllidae,,
murphydoris-puncticulata,▪️ Murphydoris puncticulata,Doridida,Goniodorididae,,
niparaya-cf-regiscorona,▪️ Niparaya cf regiscorona,Doridida,Aegiridae,,
noumeaella-sp.-1,▪️ Noumeaella sp.1,Aeolida,Facelinidae,,
noumeaella-rehderi,Noumeaella rehderi,Aeolida,Facelinidae,,872487
okenia-pellucida,Okenia pellucida,Doridida,Goniodorididae,,397158
okenia-sp.-1,Okenia sp. 1,Doridida,Goniodorididae,,138042
okenia-sp.-2,▪️ Okenia sp.2,Doridida,Goniodorididae,,
okenia-sp.-3,▪️ Okenia sp.3,Doridida,Goniodorididae,,
okenia-sp.-4,▪️ Okenia sp.4,Doridida,Goniodorididae,,
oxynoe-cf-alicia,▪️ Oxynoe cf alicia,Sacoglossa,Oxynoidae,,
oxynoe-kylei,Oxynoe kylei,Sacoglossa,Oxynoidae,,1293522
oxynoe-cf-viridis,Oxynoe cf viridis,Sacoglossa,Oxynoidae,,
oxynoe-jacksoni,▪️ Oxynoe jacksoni,Sacoglossa,Oxynoidae,,
oxynoe-jordani,▪️ Oxynoe jordani,Sacoglossa,Oxynoidae,,
oxynoe-sp.-1,▪️ Oxynoe sp.1,Sacoglossa,Oxynoidae,,
oxynoe-sp.-2,▪️ Oxynoe sp. 2,Sacoglossa,Oxynoidae,,
oxynoe-sp.-3,▫️Oxynoe sp.3,Sacoglossa,Oxynoidae,,
paradoris-sp.1,▪️ Paradoris sp.1,Doridida,Discodorididae,,
paradoris-sp.2,Paradoris sp.2,Doridida,Discodorididae,,137899
peltodoris-fellowsi,▪️ Peltodoris fellowsi,Doridida,Discodorididae,,
petalifera-sp.1,Petalifera sp.1,Aplysiida,Aplysiidae,,137903
phanerophthalmus-albocollaris,Phanerophthalmus cf albocollaris,Cephalaspidea,Haminoeidae,,
phanerophthalmus-cylindricus,Phanerophthalmus cylindricus,Cephalaspidea,Haminoeidae,,715655
phanerophthalmus-sp.1,Phanerophthalmus sp.1,Cephalaspidea,Haminoeidae,,599465
phanerophthalmus-sp.2,▪️ Phanerophthalmus sp.2,Cephalaspidea,Haminoeidae,,
phanerophthalmus-sp.3,▪️ Phanerophthalmus sp.3,Cephalaspidea,Haminoeidae,,
phanerophthalmus-sp.4,▪️ Phanerophthalmus sp.4,Cephalaspidea,Haminoeidae,,
phidiana-salaamica,Phidiana salaamica,Aeolida,Facelinidae,,578327
philine-orca,▪️ Philine Orca,Cephalaspidea,Philinidae,,
philine-rubrata,▪️ Philine rubrata,Cephalaspidea,Philinidae,,
philine-sp.1,▪️ Philine sp.1,Cephalaspidea,Philinidae,,
philine-sp.2,▪️ Philine sp.2,Cephalaspidea,Philinidae,,
philinopsis-speciosa,Philinopsis speciosa,Cephalaspidea,Aglajidae,,559039
phycophila-euchlora,▪️ Phycophila euchlora,Aplysiida,Aplysiidae,,
phyllaplisia-lafonti,▪️ Phyllaplisia lafonti,Aplysiida,Aplysiidae,,
phyllidia-cf.-carlsonhoffi,Phyllidia cf. carlsonhoffi,Doridida,Phyllidiidae,,
phyllidia-cf.-ocellata,Phyllidia cf. ocellata,Doridida,Phyllidiidae,,
phyllidia-sp.-1,Phyllidia sp. 1,Doridida,Phyllidiidae,,138347
phyllidiella-cf.-annulata,Phyllidiella cf. annulata,Doridida,Phyllidiidae,,
phyllidiella-pustulosa,Phyllidiella pustulosa,Doridida,Phyllidiidae,,536574
phyllidiella-rosans,Phyllidiella rosans,Doridida,Phyllidiidae,,536695
phylliroe-bucephalum,Phylliroe bucephalum,Dendronotida,Phylliroidae,,140778
phyllodesmium-sp.-1,Phyllodesmium sp.1,Aeolida,Facelinidae,,204424
placida-kevinleei,▪️ Placida kevinleei,Sacoglossa,Limapontiidae,,
placida-sp.1,▪️ Placida sp.1,Sacoglossa,Limapontiidae,,
placida-sp.2,▪️ Placida sp.2,Sacoglossa,Limapontiidae,,
plakobranchus-ocellatus,Plakobranchus ocellatus,Sacoglossa,Plakobranchidae,,451657
plakobranchus-sp.1,▫️Plakobranchus sp.1,Sacoglossa,Plakobranchidae,,
platydoris-cruenta,▪️ Platydoris cruenta,Doridida,Discodorididae,,
platydoris-scabra,▪️ Platydoris scabra,Doridida,Discodorididae,,
platydoris-sp.1,Platydoris sp.1,Doridida,Discodorididae,,138358
platydoris-sp.2,Platydoris sp. 2,Doridida,Discodorididae,,138358
platydoris-sp.3,▪️ Platydoris sp.3,Doridida,Discodorididae,,
pleurehdera-haraldi,▪️ Pleurehdera haraldi,Pleurobranchida,Pleurobranchidae,,
